Crop,Season,Sowing_Period,Harvesting_Period,Telangana_Suitability
rice,Kharif,June-July,Nov-Dec,High - major staple crop in TG
maize,Kharif/Rabi,June / Nov,Sept / Feb,High - grown in most districts
cotton,Kharif,June-July,Nov-Jan,Very High - Telangana top cotton producing state
chilli,Kharif/Rabi,June-July / Oct,Jan-Feb / Apr,"High - Khammam, Warangal belt"
turmeric,Kharif,May-June,Jan-Mar,High - Nizamabad known as Turmeric City
sugarcane,Annual,Feb-Mar,Dec-Mar (next yr),Medium - irrigated areas
soybean,Kharif,June-July,Oct,"Medium - Adilabad, Nizamabad"
groundnut,Kharif/Rabi,June / Nov,Oct / Mar,Medium
wheat,Rabi,Nov,Mar,Low - limited irrigated pockets
pigeonpeas,Kharif,June-July,Dec-Jan,High - Redgram/Kandi major TG crop
chickpea,Rabi,Oct-Nov,Feb-Mar,Medium - Bengal gram
