State,Dominant_Soil_Types
Andhra Pradesh,"Red Soil, Black Soil, Alluvial (coastal)"
Telangana,"Red Soil, Black Soil (Deccan)"
Tamil Nadu,"Red Soil, Alluvial, Laterite"
Karnataka,"Red Soil, Black Soil, Laterite"
Kerala,"Laterite Soil, Alluvial, Forest Soil"
Maharashtra,"Black Soil (Regur), Laterite"
Madhya Pradesh,"Black Soil, Red & Yellow Soil"
Gujarat,"Black Soil, Arid/Desert Soil, Alluvial (coastal)"
Rajasthan,"Arid/Desert Soil, Red & Yellow Soil"
Punjab,Alluvial Soil
Haryana,"Alluvial Soil, Saline/Alkaline patches"
Uttar Pradesh,Alluvial Soil
Bihar,"Alluvial Soil, Peaty/Marshy (Kosi belt)"
West Bengal,"Alluvial Soil, Laterite, Peaty (Sundarbans)"
Odisha,"Red Soil, Laterite, Alluvial (coastal)"
Chhattisgarh,Red & Yellow Soil
Jharkhand,"Red Soil, Forest Soil"
Assam,"Alluvial Soil, Laterite"
Himachal Pradesh,Forest & Mountain Soil
Uttarakhand,"Forest & Mountain Soil, Alluvial (Terai)"
Jammu & Kashmir,"Forest & Mountain Soil, Alluvial (Valley)"
Goa,Laterite Soil
Punjab/Haryana border,Saline & Alkaline Soil (localized)
