N,P,K,temperature,humidity,ph,rainfall,label
63.6,41.1,43.1,21.69,67.29,6.49,61.63,chilli
39.8,58.4,22.9,25.35,70.8,6.73,78.34,blackgram
124.7,63.1,52.4,29.47,74.16,6.02,163.32,sugarcane
23.1,18.1,34.7,32.14,49.24,6.06,91.97,mango
20.3,69.2,21.3,16.83,61.39,6.21,44.14,lentil
37.6,64.0,75.5,15.1,24.48,6.13,81.6,chickpea
118.0,42.8,36.4,22.94,43.41,6.03,33.02,wheat
80.6,37.7,28.7,24.56,56.27,6.71,85.57,maize
103.9,49.4,20.9,25.91,70.94,6.58,72.31,cotton
97.6,17.1,27.3,22.68,69.69,6.12,148.83,coffee
28.6,57.4,80.1,18.41,23.5,7.23,63.17,chickpea
82.6,53.4,49.6,28.02,70.34,6.32,145.88,turmeric
22.4,65.1,22.6,24.28,62.35,5.91,159.88,pigeonpeas
109.7,16.1,50.2,30.56,92.99,6.76,28.2,muskmelon
63.3,36.2,52.8,24.76,63.92,6.55,91.58,chilli
93.4,77.5,52.3,28.83,83.98,5.59,107.82,banana
21.0,13.0,10.9,20.76,90.39,6.08,115.42,orange
93.7,13.6,52.2,27.59,91.15,6.65,27.2,muskmelon
105.6,42.2,48.7,26.54,89.08,6.81,189.51,rice
10.8,37.5,16.5,25.32,39.68,8.11,48.65,mothbeans
76.0,45.1,47.3,21.72,71.93,6.88,186.88,turmeric
62.3,42.8,41.4,24.13,61.48,6.56,109.66,chilli
92.1,15.4,52.0,31.81,87.75,6.65,54.1,watermelon
23.4,61.6,16.2,18.54,22.66,6.25,103.4,kidneybeans
16.4,63.5,21.7,18.74,19.07,6.42,63.36,kidneybeans
21.7,68.9,24.0,15.46,23.57,5.79,78.74,kidneybeans
105.3,49.0,24.0,26.6,77.73,7.38,79.63,cotton
109.0,48.6,24.6,27.46,70.62,7.34,85.5,cotton
25.8,74.4,21.0,18.52,22.05,5.71,92.84,kidneybeans
31.9,62.6,20.5,24.45,60.14,6.26,70.0,blackgram
49.1,59.4,54.3,35.15,94.33,6.22,125.7,papaya
21.9,49.6,46.2,25.93,72.53,6.33,72.52,soybean
95.8,71.6,53.4,27.16,78.97,5.99,109.83,banana
109.3,12.8,51.1,27.97,94.65,6.46,22.61,muskmelon
22.5,17.1,28.1,25.22,94.14,6.25,151.39,coconut
22.7,41.7,38.9,23.52,71.68,6.47,91.06,soybean
21.4,45.0,20.1,27.99,39.26,3.65,63.63,mothbeans
21.9,125.9,205.1,15.32,84.07,6.07,73.68,grapes
18.3,16.5,32.9,28.73,94.01,6.12,185.88,coconut
17.8,13.2,29.4,25.82,91.49,5.91,131.37,coconut
117.9,41.7,49.7,22.69,85.21,6.65,169.26,rice
25.8,59.3,19.5,17.28,20.37,5.95,80.8,kidneybeans
108.7,51.9,22.8,28.28,78.1,5.51,98.17,cotton
19.7,120.2,204.2,24.73,92.39,5.51,108.61,apple
24.8,29.5,32.1,25.46,60.8,6.2,66.09,groundnut
21.6,21.8,32.2,32.24,54.97,5.89,93.37,mango
53.7,56.8,52.1,31.36,88.1,6.61,89.09,papaya
96.9,14.1,51.5,28.1,81.61,6.22,52.52,watermelon
24.2,36.5,26.5,26.53,62.54,6.52,64.57,groundnut
21.9,69.9,22.7,21.05,61.13,6.11,55.5,lentil
